Model,Base R2,Base MAE,Base MSE,Base RMSE,Tuned R2,Tuned MAE,Tuned MSE,Tuned RMSE
KNN,0.8026239134136615,2970936.768149883,15826569086651.055,3978262.0686238175,0.8180851353788792,2859016.3934426233,14586813542660.54,3819268.718309899
Linear_Regression,0.8534009252278945,2598630.9583495413,11755022733744.094,3428559.862937221,0.8534009252278945,2598630.9583495413,11755022733744.094,3428559.862937221
Decision_Tree,0.7231344139554077,3420140.5152224824,22200421545667.45,4711732.329586163,0.8490418731209622,2622257.866015134,12104552611024.828,3479159.756467764
Random_Forest,0.849402752455056,2604347.775175644,12075615560889.93,3474998.6418544007,0.8517189795080417,2579289.766261985,11889889275054.32,3448171.8743494097
SVM,-0.05099652937996546,7567416.193087134,84273984096783.78,9180086.279375797,-0.05069262421120757,7566082.305578601,84249615510739.11,9178758.930854384
XGBoost,0.8374208211898804,2689820.25,13036383371264.0,3610593.215977674,0.8534025549888611,2533075.75,11754893475840.0,3428541.0127108004
