Model,Base R2-Score,Tuned R2-Score
KNN,0.8026239134136615,0.8180851353788792
Linear_Regression,0.8534009252278945,0.8534009252278945
Decision_Tree,0.7231344139554077,0.8490418731209622
Random_Forest,0.849402752455056,0.8517189795080417
SVM,-0.05099652937996546,-0.05069262421120757
XGBoost,0.8374208211898804,0.8534025549888611
