Model,Base Accuracy,Base Precision,Base Recall,Base F1,Tuned Accuracy,Tuned Precision,Tuned Recall,Tuned F1
KNN,0.8100558659217877,0.8091943405778437,0.8100558659217877,0.8086810746540072,0.8100558659217877,0.8091943405778437,0.8100558659217877,0.8086810746540072
Naive_Bayes,0.776536312849162,0.78224511612161,0.776536312849162,0.7778411274732975,0.776536312849162,0.78224511612161,0.776536312849162,0.7778411274732975
Logistic_Regression,0.8100558659217877,0.8091625969233472,0.8100558659217877,0.8091929317716401,0.8044692737430168,0.8034756111025241,0.8044692737430168,0.8033245174988711
Decision_Tree,0.776536312849162,0.7788566136372983,0.776536312849162,0.7773070741615117,0.7988826815642458,0.8026781890462037,0.7988826815642458,0.7938129502869702
Random_Forest,0.8044692737430168,0.8036409018980425,0.8044692737430168,0.8038235190375541,0.8212290502793296,0.8210133170334881,0.8212290502793296,0.8194015097710449
SVM,0.8156424581005587,0.8150379387976319,0.8156424581005587,0.8140397158008151,0.8156424581005587,0.8178924623692801,0.8156424581005587,0.8121396341853792
XGBoost,0.7932960893854749,0.7929199438019727,0.7932960893854749,0.7930828345529745,0.776536312849162,0.8009423847412674,0.776536312849162,0.7620963923870846
