Model,Base F1-Score,Tuned F1-Score
KNN,0.8086810746540072,0.8086810746540072
Naive_Bayes,0.7778411274732975,0.7778411274732975
Logistic_Regression,0.8091929317716401,0.8033245174988711
Decision_Tree,0.7773070741615117,0.7938129502869702
Random_Forest,0.8038235190375541,0.8194015097710449
SVM,0.8140397158008151,0.8121396341853792
XGBoost,0.7930828345529745,0.7620963923870846
