layer,type,output_shape,params,activation,dropout,regularizer
dense_15,Dense,"(None, 64)",832,relu,,<keras.src.regularizers.regularizers.L2 object at 0x000001D411A5C440>
dense_16,Dense,"(None, 32)",2080,relu,,<keras.src.regularizers.regularizers.L2 object at 0x000001D411A5E300>
dense_17,Dense,"(None, 1)",33,linear,,None
