Model,Base Accuracy,Base Precision,Base Recall,Base F1,Tuned Accuracy,Tuned Precision,Tuned Recall,Tuned F1
KNN,0.8957845433255269,0.8975531164957388,0.8957845433255269,0.8963014492071766,0.9086651053864169,0.9090986306884854,0.9086651053864169,0.9088348639182512
Naive_Bayes,0.936768149882904,0.9378188951666582,0.936768149882904,0.9370307500922023,0.936768149882904,0.9378188951666582,0.936768149882904,0.9370307500922023
Logistic_Regression,0.905152224824356,0.9049067721845864,0.905152224824356,0.9049966078550483,0.9098360655737705,0.9096063794368513,0.9098360655737705,0.9096881333930708
Decision_Tree,0.9754098360655737,0.9753876768931972,0.9754098360655737,0.9753858773915762,0.9754098360655737,0.9753876768931972,0.9754098360655737,0.9753858773915762
Random_Forest,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492,0.9836065573770492
SVM,0.9262295081967213,0.9270401875434512,0.9262295081967213,0.9264742037317377,0.9391100702576113,0.9394340277266352,0.9391100702576113,0.9392232426121674
XGBoost,0.9812646370023419,0.981251936125998,0.9812646370023419,0.9812525304286691,0.9800936768149883,0.9800807868388998,0.9800936768149883,0.9800742816979428
