Model,Base F1-Score,Tuned F1-Score
KNN,0.8963014492071766,0.9088348639182512
Naive_Bayes,0.9370307500922023,0.9370307500922023
Logistic_Regression,0.9049966078550483,0.9096881333930708
Decision_Tree,0.9753858773915762,0.9753858773915762
Random_Forest,0.9836065573770492,0.9836065573770492
SVM,0.9264742037317377,0.9392232426121674
XGBoost,0.9812525304286691,0.9800742816979428
