Model,Base F1-Score,Tuned F1-Score
KNN,0.838574801009767,0.8040369432444511
Naive_Bayes,0.7400177462289264,0.7400177462289264
Logistic_Regression,0.8870152352343809,0.8880236305048335
Decision_Tree,0.7707655623101282,0.8061467907773796
Random_Forest,0.838574801009767,0.8318287167537365
SVM,0.8500093960236029,0.8835114998380306
XGBoost,0.8639216027316377,0.8524325931489916
