Model,Base Accuracy,Base Precision,Base Recall,Base F1,Tuned Accuracy,Tuned Precision,Tuned Recall,Tuned F1
KNN,0.8775510204081632,0.8593472232098414,0.8775510204081632,0.838574801009767,0.8639455782312925,0.7518980288361079,0.8639455782312925,0.8040369432444511
Naive_Bayes,0.6938775510204082,0.83278626135769,0.6938775510204082,0.7400177462289264,0.6938775510204082,0.83278626135769,0.6938775510204082,0.7400177462289264
Logistic_Regression,0.8945578231292517,0.8841491483811569,0.8945578231292517,0.8870152352343809,0.9047619047619048,0.898310226617723,0.9047619047619048,0.8880236305048335
Decision_Tree,0.7585034013605442,0.7845834727333556,0.7585034013605442,0.7707655623101282,0.8231292517006803,0.7927805174114256,0.8231292517006803,0.8061467907773796
Random_Forest,0.8775510204081632,0.8593472232098414,0.8775510204081632,0.838574801009767,0.8741496598639455,0.850375566893424,0.8741496598639455,0.8318287167537365
SVM,0.8877551020408163,0.9006164965986394,0.8877551020408163,0.8500093960236029,0.8945578231292517,0.8818972033257749,0.8945578231292517,0.8835114998380306
XGBoost,0.8809523809523809,0.8614702815432742,0.8809523809523809,0.8639216027316377,0.8809523809523809,0.860435663627153,0.8809523809523809,0.8524325931489916
