Model,R2 Score,MAE,MSE,RMSE,MAPE
XGBoost,0.8529038429260254,2612951.5,11794883018752.0,3434367.92128508,0.20349442958831787
Random Forest,0.8523098676807692,2608638.864208901,11842509003969.316,3441294.669738312,0.1919500161613672
Linear Regression,0.8514057521205595,2626187.6910568466,11915005361676.342,3451811.895465386,0.18876076061352623
Decision Tree,0.8480456283859551,2663017.8808755823,12184436331482.05,3490621.195644416,0.20858028860287126
