feature,auc_drop
cibil_score,0.4895197448589903
income_annum,0.04469923562645406
loan_amount,0.0377843078950284
loan_term,0.02247059989621769
education_Graduate,0.004401998682315611
education_Not Graduate,0.00439616822048472
self_employed_No,0.0028161130643158394
self_employed_Yes,0.0027578084460070373
luxury_assets_value,0.002186423186580577
commercial_assets_value,0.0013759889920880175
residential_assets_value,0.0003265058625293582
bank_asset_value,0.00012243969844849545
no_of_dependents,-0.00012827016027938676
