model,params,optimizer,val_mae,val_rmse,val_r2
deep,2945,Adam,2607345.5,3369227.505489055,0.8579654693603516
baseline,225,Adam,2649389.0,3413302.7497296515,0.8542250990867615
l2,2945,Adam,2649648.25,3448349.9140499067,0.8512161374092102
final,3329,Adam,2653715.5,3419457.2307920447,0.8536989092826843
dropout,2945,Adam,2717442.5,3577926.190496389,0.8398245573043823
shallow,449,Adam,2723763.5,3466645.9460960245,0.8496330976486206
batchnorm,3329,Adam,2872784.5,3740101.790649019,0.8249750137329102
